"Backup options","Opțiuni de backup",lib,lib/web/mage/adminhtml/backup.js
Warning,Avertisment,lib,lib/web/mage/adminhtml/backup.js
"Insert Widget","Inserați un widget",lib,lib/web/mage/adminhtml/wysiwyg/tiny_mce/plugins/magentowidget/editor_plugin.js
"The widget %1 is no longer available. Select a different widget.","Widgetul %1 nu mai este disponibil. Selectați un alt widget.",lib,lib/web/mage/adminhtml/wysiwyg/widget.js
"No records found.","Nu au fost găsite.",lib,lib/web/mage/backend/suggest.js
"Recent items","Obiecte recente",lib,lib/web/mage/backend/suggest.js
"Show all...","Arata tot...",lib,lib/web/mage/backend/suggest.js
"Please enter a number greater 0 in this field.","Vă rugăm să introduceți un număr mai mare de 0 în acest câmp.",lib,lib/web/mage/backend/validation.js
"Please specify Url.","Vă rugăm să specificați adresa URL.",lib,lib/web/mage/backend/validation.js
"Please select one of each ratings above.","Vă rugăm să selectați una dintre fiecare evaluări de mai sus.",lib,lib/web/mage/backend/validation.js
"Method %s does not exist on jQuery.decorate","Metoda %s nu există în jQuery.decorate",lib,lib/web/mage/decorate.js
Previous,Anterior,lib,lib/web/mage/gallery/gallery.js
Next,Următorul,lib,lib/web/mage/gallery/gallery.js
Loading...,Încărcare...,lib,lib/web/mage/loader_old.js
"Please wait...","Va asteptati...",lib,lib/web/mage/loader_old.js
more,mai mult,lib,lib/web/mage/menu.js
"All %1","Toate %1",lib,lib/web/mage/menu.js
Submit,Trimiteți,lib,lib/web/mage/translate-inline.js
Translate,Traduceți,lib,lib/web/mage/translate-inline.js
"Admin is a required field in each row.","Admin este un câmp obligatoriu pe fiecare rând.",lib,lib/web/mage/validation.js
"Please enter a valid value from list","Vă rugăm să introduceți o valoare validă din listă",lib,lib/web/mage/validation.js
"The password can't be the same as the email address. Create a new password and try again.","Parola nu poate fi aceeași cu adresa de e-mail. Creați o nouă parolă și încercați din nou.",lib,lib/web/mage/validation.js
"Incorrect credit card expiration date.","Data de expirare a cardului de credit este incorectă.",lib,lib/web/mage/validation.js
"Please enter a valid credit card verification number.","Vă rugăm să introduceți un număr valid de verificare a cardului de credit.",lib,lib/web/mage/validation.js
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Vă rugăm să introduceți un URL valid. De exemplu http://www.example.com sau www.example.com.",lib,lib/web/mage/validation.js
"Please enter at least {0} characters.","Vă rugăm să introduceți cel puțin {0} caractere.",lib,lib/web/mage/validation.js
"This is required field","Acesta este câmp obligatoriu",lib,lib/web/mage/validation.js
"Please enter the same value again.","Vă rugăm să introduceți din nou aceeași valoare.",lib,lib/web/mage/validation.js
"Please enter only digits.","Te rog introdu doar cifre.",lib,lib/web/mage/validation.js
"Please enter valid SKU key.","Vă rugăm să introduceți cheia SKU validă.",lib,lib/web/mage/validation.js
"Please enter less or equal than %1 symbols.","Vă rugăm să introduceți mai puține sau egale cu %1 simboluri.",lib,lib/web/mage/validation.js
"Please remove invalid characters: {0}.","Vă rugăm să eliminați caracterele invalide: {0}.",lib,lib/web/mage/validation.js
"Please select one of the options above.","Vă rugăm să selectați una dintre opțiunile de mai sus.",lib,lib/web/mage/validation.js
"Please enter a valid URL.","Vă rugăm să introduceți o adresă URL validă.",lib,lib/web/mage/validation.js
"Card type does not match credit card number.","Tipul cardului nu se potrivește cu numărul cardului de credit.",lib,lib/web/mage/validation.js
"Forbidden extensions has been used. Avoid usage of ","Au fost folosite extensii interzise. Evitați utilizarea",lib,lib/web/mage/validation.js
"Please fix this field.","Vă rugăm să remediați acest câmp.",lib,lib/web/mage/validation.js
"Please make sure your passwords match.","Vă rugăm să vă asigurați că parolele dvs. se potrivesc.",lib,lib/web/mage/validation.js
"Please enter a valid number.","Vă rugăm să introduceți un număr valid.",lib,lib/web/mage/validation.js
"Credit card number does not match credit card type.","Numărul cardului de credit nu se potrivește cu tipul cardului de credit.",lib,lib/web/mage/validation.js
"Please enter a value greater than or equal to %s.","Vă rugăm să introduceți o valoare mai mare sau egală cu %s.",lib,lib/web/mage/validation.js
"Please enter a valid date (ISO).","Vă rugăm să introduceți o dată validă (ISO).",lib,lib/web/mage/validation.js
"Please enter more or equal than %1 symbols.","Vă rugăm să introduceți mai multe sau egale cu %1 simboluri.",lib,lib/web/mage/validation.js
"Please enter no more than {0} characters.","Vă rugăm să nu introduceți mai mult de {0} caractere.",lib,lib/web/mage/validation.js
"Please enter a value less than or equal to %s.","Vă rugăm să introduceți o valoare mai mică sau egală cu %s.",lib,lib/web/mage/validation.js
"The field isn't complete.","Câmpul nu este complet.",lib,lib/web/mage/validation.js
"Please enter a valid email address.","Te rog introduce o adresa de email valida.",lib,lib/web/mage/validation.js
"Please select a file.","Vă rugăm să selectați un fișier.",lib,lib/web/mage/validation.js
"Please enter a value between {0} and {1} characters long.","Vă rugăm să introduceți o valoare cuprinsă între {0} și {1} caractere.",lib,lib/web/mage/validation.js
"Please enter a value between {0} and {1}.","Vă rugăm să introduceți o valoare între {0} și {1}.",lib,lib/web/mage/validation.js
"Please enter a date between %min and %max.","Vă rugăm să introduceți o dată între %min și %max.",lib,lib/web/mage/validation/validation.js
"Please enter a valid day (1-%1).","Vă rugăm să introduceți o zi validă (1-%1).",lib,lib/web/mage/validation/validation.js
"Please enter a valid month (1-12).","Vă rugăm să introduceți o lună validă (1-12).",lib,lib/web/mage/validation/validation.js
"Please enter a valid full date.","Vă rugăm să introduceți o dată completă validă.",lib,lib/web/mage/validation/validation.js
"Please select one of the options.","Vă rugăm să selectați una dintre opțiuni.",lib,lib/web/mage/validation/validation.js
"Please enter a valid year (1900-%1).","Vă rugăm să introduceți un an valid (1900-%1).",lib,lib/web/mage/validation/validation.js
"Please enter a date from the past.","Vă rugăm să introduceți o dată din trecut.",lib,lib/web/mage/validation/validation.js
"Please specify the quantity of product(s).","Vă rugăm să precizați cantitatea de produs(e).",lib,lib/web/mage/validation/validation.js
"Extra Large","Foarte mare",module,Amazon_Core
"<input type=""checkbox"" name=""amazon_test_creds"" id=""amazon_test_creds"" value=""1""><label for=""amazon_test_creds"">Test Credentials</label>","<input type=""checkbox"" name=""amazon_test_creds"" id=""amazon_test_creds"" value=""1""><label for=""amazon_test_creds"">Test Credentials</label>",module,Amazon_Core
"You will be registering for a %1 account based on the base currency of your shop (%2).","Vă veți înregistra pentru un cont %1 bazat pe moneda de bază a magazinului dumneavoastră (%2).",module,Amazon_Core
"click here to display the categories","faceți clic aici pentru a afișa categoriile",module,Amazon_Core
